2025-07-24 00:02:59.422 [http-nio-8080-exec-10] WARN  [58286b12] com.lulu.logging.AuditLoggingFilter - ERROR_RESPONSE [58286b12] GET /api/reviews/product/8 responded 404 in 5 ms
2025-07-24 00:03:10.429 [http-nio-8080-exec-3] INFO  [85eef19a] com.lulu.logging.AuditLoggingFilter - REQUEST [85eef19a] GET /api/category
2025-07-24 00:03:10.429 [http-nio-8080-exec-9] INFO  [be1d5b96] com.lulu.logging.AuditLoggingFilter - REQUEST [be1d5b96] GET /api/products
2025-07-24 00:03:10.432 [http-nio-8080-exec-3] INFO  [85eef19a] com.lulu.logging.AuditLoggingFilter - RESPONSE [85eef19a] GET /api/category responded 200 in 3 ms
2025-07-24 00:03:10.434 [http-nio-8080-exec-6] INFO  [1430aa4c] com.lulu.logging.AuditLoggingFilter - REQUEST [1430aa4c] GET /api/category
2025-07-24 00:03:10.438 [http-nio-8080-exec-6] INFO  [1430aa4c] com.lulu.logging.AuditLoggingFilter - RESPONSE [1430aa4c] GET /api/category responded 200 in 4 ms
2025-07-24 00:03:10.452 [http-nio-8080-exec-9] INFO  [be1d5b96] com.lulu.logging.AuditLoggingFilter - RESPONSE [be1d5b96] GET /api/products responded 200 in 23 ms
2025-07-24 00:03:10.454 [http-nio-8080-exec-2] INFO  [7bb0925d] com.lulu.logging.AuditLoggingFilter - REQUEST [7bb0925d] GET /api/products
2025-07-24 00:03:10.492 [http-nio-8080-exec-2] INFO  [7bb0925d] com.lulu.logging.AuditLoggingFilter - RESPONSE [7bb0925d] GET /api/products responded 200 in 38 ms
2025-07-24 00:03:12.181 [http-nio-8080-exec-5] INFO  [5c5d11f5] com.lulu.logging.AuditLoggingFilter - REQUEST [5c5d11f5] GET /api/products/8
2025-07-24 00:03:12.181 [http-nio-8080-exec-5] INFO  [5c5d11f5] AUDIT - AUDIT_REQUEST [5c5d11f5] GET /api/products/8 | IP: 0:0:0:0:0:0:0:1 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 | Referer: http://localhost:5173/
2025-07-24 00:03:12.182 [http-nio-8080-exec-8] INFO  [c3365747] com.lulu.logging.AuditLoggingFilter - REQUEST [c3365747] GET /api/products
2025-07-24 00:03:12.189 [http-nio-8080-exec-5] INFO  [5c5d11f5] com.lulu.logging.AuditLoggingFilter - RESPONSE [5c5d11f5] GET /api/products/8 responded 200 in 8 ms
2025-07-24 00:03:12.189 [http-nio-8080-exec-5] INFO  [5c5d11f5] AUDIT - AUDIT_RESPONSE [5c5d11f5] GET /api/products/8 | Status: 200 | Duration: 8 ms
2025-07-24 00:03:12.209 [http-nio-8080-exec-7] INFO  [8b49b3bd] com.lulu.logging.AuditLoggingFilter - REQUEST [8b49b3bd] GET /api/products/8
2025-07-24 00:03:12.210 [http-nio-8080-exec-7] INFO  [8b49b3bd] AUDIT - AUDIT_REQUEST [8b49b3bd] GET /api/products/8 | IP: 0:0:0:0:0:0:0:1 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 | Referer: http://localhost:5173/
2025-07-24 00:03:12.213 [http-nio-8080-exec-7] INFO  [8b49b3bd] com.lulu.logging.AuditLoggingFilter - RESPONSE [8b49b3bd] GET /api/products/8 responded 200 in 4 ms
2025-07-24 00:03:12.213 [http-nio-8080-exec-7] INFO  [8b49b3bd] AUDIT - AUDIT_RESPONSE [8b49b3bd] GET /api/products/8 | Status: 200 | Duration: 4 ms
2025-07-24 00:03:12.334 [http-nio-8080-exec-7] INFO  [1161fb95] com.lulu.logging.AuditLoggingFilter - REQUEST [1161fb95] GET /api/reviews/product/8
2025-07-24 00:03:12.336 [http-nio-8080-exec-7] WARN  [1161fb95] com.lulu.logging.AuditLoggingFilter - ERROR_RESPONSE [1161fb95] GET /api/reviews/product/8 responded 404 in 2 ms
2025-07-24 00:03:12.341 [http-nio-8080-exec-8] INFO  [c3365747] com.lulu.logging.AuditLoggingFilter - RESPONSE [c3365747] GET /api/products responded 200 in 159 ms
2025-07-24 00:03:12.402 [http-nio-8080-exec-1] INFO  [aaaf22bf] com.lulu.logging.AuditLoggingFilter - REQUEST [aaaf22bf] GET /api/products
2025-07-24 00:03:12.419 [http-nio-8080-exec-4] INFO  [8d26f94e] com.lulu.logging.AuditLoggingFilter - REQUEST [8d26f94e] GET /api/reviews/product/8
2025-07-24 00:03:12.419 [http-nio-8080-exec-1] INFO  [aaaf22bf] com.lulu.logging.AuditLoggingFilter - RESPONSE [aaaf22bf] GET /api/products responded 200 in 17 ms
2025-07-24 00:03:12.424 [http-nio-8080-exec-4] WARN  [8d26f94e] com.lulu.logging.AuditLoggingFilter - ERROR_RESPONSE [8d26f94e] GET /api/reviews/product/8 responded 404 in 5 ms
2025-07-24 00:05:33.145 [http-nio-8080-exec-5] INFO  [4098ce2b] com.lulu.logging.AuditLoggingFilter - REQUEST [4098ce2b] GET /api/products/2
2025-07-24 00:05:33.145 [http-nio-8080-exec-5] INFO  [4098ce2b] AUDIT - AUDIT_REQUEST [4098ce2b] GET /api/products/2 | IP: 0:0:0:0:0:0:0:1 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 | Referer: http://localhost:5173/
2025-07-24 00:05:33.149 [http-nio-8080-exec-5] INFO  [4098ce2b] com.lulu.logging.AuditLoggingFilter - RESPONSE [4098ce2b] GET /api/products/2 responded 200 in 4 ms
2025-07-24 00:05:33.149 [http-nio-8080-exec-5] INFO  [4098ce2b] AUDIT - AUDIT_RESPONSE [4098ce2b] GET /api/products/2 | Status: 200 | Duration: 4 ms
2025-07-24 00:05:33.153 [http-nio-8080-exec-2] INFO  [68df1df9] com.lulu.logging.AuditLoggingFilter - REQUEST [68df1df9] GET /api/reviews/product/2
2025-07-24 00:05:33.156 [http-nio-8080-exec-2] WARN  [68df1df9] com.lulu.logging.AuditLoggingFilter - ERROR_RESPONSE [68df1df9] GET /api/reviews/product/2 responded 404 in 3 ms
2025-07-24 00:05:33.883 [http-nio-8080-exec-7] INFO  [e80d6a85] com.lulu.logging.AuditLoggingFilter - REQUEST [e80d6a85] GET /api/products/8
2025-07-24 00:05:33.883 [http-nio-8080-exec-7] INFO  [e80d6a85] AUDIT - AUDIT_REQUEST [e80d6a85] GET /api/products/8 | IP: 0:0:0:0:0:0:0:1 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 | Referer: http://localhost:5173/
2025-07-24 00:05:33.886 [http-nio-8080-exec-7] INFO  [e80d6a85] com.lulu.logging.AuditLoggingFilter - RESPONSE [e80d6a85] GET /api/products/8 responded 200 in 3 ms
2025-07-24 00:05:33.886 [http-nio-8080-exec-7] INFO  [e80d6a85] AUDIT - AUDIT_RESPONSE [e80d6a85] GET /api/products/8 | Status: 200 | Duration: 3 ms
2025-07-24 00:05:33.894 [http-nio-8080-exec-10] INFO  [b0d0e398] com.lulu.logging.AuditLoggingFilter - REQUEST [b0d0e398] GET /api/reviews/product/8
2025-07-24 00:05:33.897 [http-nio-8080-exec-10] WARN  [b0d0e398] com.lulu.logging.AuditLoggingFilter - ERROR_RESPONSE [b0d0e398] GET /api/reviews/product/8 responded 404 in 3 ms
2025-07-24 00:05:34.915 [http-nio-8080-exec-1] INFO  [85e847fa] com.lulu.logging.AuditLoggingFilter - REQUEST [85e847fa] GET /api/products/2
